Unnamed: 0,Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
261,Africa,Guinea,Conakry,22,84.0,28.89
262,Africa,Guinea,Conakry,23,-99.0,-72.78
263,Africa,Guinea,Conakry,24,83.2,28.44
264,Africa,Guinea,Conakry,25,83.5,28.61
265,Africa,Guinea,Conakry,26,84.0,28.89
266,Africa,Guinea,Conakry,27,84.6,29.22
267,Africa,Guinea,Conakry,28,81.1,27.28
268,Africa,Guinea,Conakry,29,80.0,26.67
269,Africa,Guinea,Conakry,30,85.4,29.67
270,Africa,Guinea-Bissau,Bissau,1,84.8,29.33
271,Africa,Guinea-Bissau,Bissau,2,86.0,30.0
272,Africa,Guinea-Bissau,Bissau,3,83.0,28.33
273,Africa,Guinea-Bissau,Bissau,4,84.8,29.33
274,Africa,Guinea-Bissau,Bissau,5,85.2,29.56
275,Africa,Guinea-Bissau,Bissau,6,82.4,28.0
276,Africa,Guinea-Bissau,Bissau,7,81.9,27.72
277,Africa,Guinea-Bissau,Bissau,8,82.1,27.83
278,Africa,Guinea-Bissau,Bissau,9,84.4,29.11
279,Africa,Guinea-Bissau,Bissau,10,83.3,28.5
280,Africa,Guinea-Bissau,Bissau,11,83.7,28.72
281,Africa,Guinea-Bissau,Bissau,12,84.7,29.28
282,Africa,Guinea-Bissau,Bissau,13,82.3,27.94
283,Africa,Guinea-Bissau,Bissau,14,83.8,28.78
284,Africa,Guinea-Bissau,Bissau,15,81.0,27.22
285,Africa,Guinea-Bissau,Bissau,16,83.7,28.72
286,Africa,Guinea-Bissau,Bissau,17,81.9,27.72
287,Africa,Guinea-Bissau,Bissau,18,80.1,26.72
288,Africa,Guinea-Bissau,Bissau,19,83.1,28.39
289,Africa,Guinea-Bissau,Bissau,20,80.9,27.17
290,Africa,Guinea-Bissau,Bissau,21,83.0,28.33
291,Africa,Guinea-Bissau,Bissau,22,83.5,28.61
292,Africa,Guinea-Bissau,Bissau,23,82.5,28.06
293,Africa,Guinea-Bissau,Bissau,24,82.3,27.94
294,Africa,Guinea-Bissau,Bissau,25,82.1,27.83
295,Africa,Guinea-Bissau,Bissau,26,82.4,28.0
296,Africa,Guinea-Bissau,Bissau,27,82.1,27.83
297,Africa,Guinea-Bissau,Bissau,28,83.7,28.72
298,Africa,Guinea-Bissau,Bissau,29,80.6,27.0
299,Africa,Guinea-Bissau,Bissau,30,83.4,28.56
300,Africa,Ivory Coast,Abidjan,1,81.4,27.44
301,Africa,Ivory Coast,Abidjan,2,81.9,27.72
302,Africa,Ivory Coast,Abidjan,3,83.9,28.83
303,Africa,Ivory Coast,Abidjan,4,82.0,27.78
304,Africa,Ivory Coast,Abidjan,5,82.3,27.94
305,Africa,Ivory Coast,Abidjan,6,79.4,26.33
306,Africa,Ivory Coast,Abidjan,7,80.1,26.72
307,Africa,Ivory Coast,Abidjan,8,82.9,28.28
308,Africa,Ivory Coast,Abidjan,9,81.6,27.56
309,Africa,Ivory Coast,Abidjan,10,82.6,28.11
310,Africa,Ivory Coast,Abidjan,11,83.4,28.56
311,Africa,Ivory Coast,Abidjan,12,83.7,28.72
312,Africa,Ivory Coast,Abidjan,13,82.3,27.94
313,Africa,Ivory Coast,Abidjan,14,82.0,27.78
314,Africa,Ivory Coast,Abidjan,15,82.1,27.83
315,Africa,Ivory Coast,Abidjan,16,80.3,26.83
316,Africa,Ivory Coast,Abidjan,17,80.3,26.83
317,Africa,Ivory Coast,Abidjan,18,82.8,28.22
318,Africa,Ivory Coast,Abidjan,19,83.3,28.5
319,Africa,Ivory Coast,Abidjan,20,80.9,27.17
320,Africa,Ivory Coast,Abidjan,21,81.7,27.61
321,Africa,Ivory Coast,Abidjan,22,79.0,26.11
322,Africa,Ivory Coast,Abidjan,23,79.4,26.33
323,Africa,Ivory Coast,Abidjan,24,79.9,26.61
324,Africa,Ivory Coast,Abidjan,25,81.1,27.28
325,Africa,Ivory Coast,Abidjan,26,80.0,26.67
326,Africa,Ivory Coast,Abidjan,27,81.2,27.33
327,Africa,Ivory Coast,Abidjan,28,83.2,28.44
328,Africa,Ivory Coast,Abidjan,29,83.2,28.44
329,Africa,Ivory Coast,Abidjan,30,81.5,27.5
330,Africa,Kenya,Nairobi,1,68.3,20.17
331,Africa,Kenya,Nairobi,2,65.3,18.5
332,Africa,Kenya,Nairobi,3,64.0,17.78
333,Africa,Kenya,Nairobi,4,65.7,18.72
334,Africa,Kenya,Nairobi,5,64.0,17.78
335,Africa,Kenya,Nairobi,6,64.7,18.17
336,Africa,Kenya,Nairobi,7,67.2,19.56
337,Africa,Kenya,Nairobi,8,67.4,19.67
338,Africa,Kenya,Nairobi,9,66.9,19.39
339,Africa,Kenya,Nairobi,10,66.9,19.39
340,Africa,Kenya,Nairobi,11,69.4,20.78
341,Africa,Kenya,Nairobi,12,66.1,18.94
342,Africa,Kenya,Nairobi,13,66.1,18.94
343,Africa,Kenya,Nairobi,14,65.5,18.61
